order_id,tanggal,kategori,kota,unit_terjual,harga_satuan,metode_pembayaran,rating
ORD-3108,2026-09-14T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,4,125000,E-Wallet,1.0
ORD-3109,2026-09-30T00:00:00.000000000,Rumah Tangga,Semarang,3,60000,Transfer Bank,
ORD-3110,2026-09-12T00:00:00.000000000,Kesehatan & Kecantikan,Semarang,2,125000,E-Wallet,5.0
ORD-3111,2026-09-12T00:00:00.000000000,Fashion,Solo,6,350000,E-Wallet,4.0
ORD-3112,2026-09-13T00:00:00.000000000,Makanan & Minuman,Solo,11,200000,Transfer Bank,5.0
ORD-3113,2026-09-05T00:00:00.000000000,Fashion,Semarang,9,350000,Transfer Bank,4.0
ORD-3114,2026-09-10T00:00:00.000000000,Kesehatan & Kecantikan,Solo,5,90000,Kartu Kredit,5.0
ORD-3115,2026-09-24T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,2,60000,Transfer Bank,5.0
ORD-3116,2026-09-23T00:00:00.000000000,Fashion,Solo,4,350000,Kartu Kredit,3.0
ORD-3117,2026-09-28T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,10,90000,COD,
ORD-3118,2026-09-28T00:00:00.000000000,Rumah Tangga,Kebumen,5,20000,COD,4.0
ORD-3119,2026-09-06T00:00:00.000000000,Makanan & Minuman,Semarang,8,60000,Kartu Kredit,
ORD-3120,2026-09-24T00:00:00.000000000,Elektronik,Semarang,6,125000,Transfer Bank,
ORD-3121,2026-09-11T00:00:00.000000000,Makanan & Minuman,Solo,8,350000,COD,4.0
ORD-3122,2026-09-28T00:00:00.000000000,Elektronik,Magelang,9,90000,E-Wallet,5.0
ORD-3123,2026-09-06T00:00:00.000000000,Rumah Tangga,Yogyakarta,4,90000,Kartu Kredit,5.0
ORD-3124,2026-09-01T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,10,45000,Kartu Kredit,4.0
ORD-3125,2026-09-04T00:00:00.000000000,Olahraga,Purworejo,5,125000,Transfer Bank,1.0
ORD-3126,2026-09-08T00:00:00.000000000,Elektronik,Kebumen,4,45000,Kartu Kredit,5.0
ORD-3127,2026-09-29T00:00:00.000000000,Makanan & Minuman,Kebumen,2,125000,COD,
ORD-3128,2026-09-14T00:00:00.000000000,Olahraga,Magelang,5,200000,COD,
ORD-3129,2026-09-28T00:00:00.000000000,Makanan & Minuman,Solo,2,20000,COD,3.0
ORD-3130,2026-09-10T00:00:00.000000000,Elektronik,Semarang,7,60000,Kartu Kredit,5.0
ORD-3131,2026-09-06T00:00:00.000000000,Elektronik,Semarang,6,45000,Transfer Bank,5.0
ORD-3132,2026-09-14T00:00:00.000000000,Makanan & Minuman,Yogyakarta,8,60000,Transfer Bank,5.0
ORD-3133,2026-09-08T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,2,125000,COD,4.0
ORD-3134,2026-09-24T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,11,20000,Transfer Bank,
ORD-3135,2026-09-25T00:00:00.000000000,Kesehatan & Kecantikan,Solo,7,90000,COD,5.0
ORD-3136,2026-09-25T00:00:00.000000000,Makanan & Minuman,Yogyakarta,7,200000,E-Wallet,4.0
ORD-3137,2026-09-17T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,5,60000,Transfer Bank,4.0
ORD-3138,2026-09-15T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,5,90000,COD,
ORD-3139,2026-09-03T00:00:00.000000000,Rumah Tangga,Solo,2,20000,Kartu Kredit,5.0
ORD-3140,2026-09-04T00:00:00.000000000,Elektronik,Purworejo,7,45000,Transfer Bank,
ORD-3141,2026-09-21T00:00:00.000000000,Rumah Tangga,Semarang,10,125000,Kartu Kredit,
ORD-3142,2026-09-01T00:00:00.000000000,Elektronik,Semarang,7,45000,COD,5.0
ORD-3143,2026-09-09T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,10,45000,Transfer Bank,5.0
ORD-3144,2026-09-28T00:00:00.000000000,Elektronik,Magelang,9,45000,Kartu Kredit,5.0
ORD-3145,2026-09-01T00:00:00.000000000,Olahraga,Semarang,11,60000,Kartu Kredit,
ORD-3146,2026-09-15T00:00:00.000000000,Elektronik,Semarang,8,90000,COD,
ORD-3147,2026-09-10T00:00:00.000000000,Olahraga,Solo,9,20000,Transfer Bank,4.0
ORD-3148,2026-09-27T00:00:00.000000000,Olahraga,Purworejo,2,45000,E-Wallet,4.0
ORD-3149,2026-09-01T00:00:00.000000000,Olahraga,Purworejo,11,200000,Kartu Kredit,4.0
ORD-3150,2026-09-25T00:00:00.000000000,Makanan & Minuman,Solo,9,350000,Kartu Kredit,3.0
ORD-3151,2026-09-05T00:00:00.000000000,Makanan & Minuman,Solo,11,20000,E-Wallet,5.0
ORD-3152,2026-09-28T00:00:00.000000000,Makanan & Minuman,Purworejo,11,125000,E-Wallet,4.0
ORD-3153,2026-09-18T00:00:00.000000000,Rumah Tangga,Kebumen,2,200000,COD,4.0
ORD-3154,2026-09-14T00:00:00.000000000,Makanan & Minuman,Magelang,1,125000,Transfer Bank,
ORD-3155,2026-09-17T00:00:00.000000000,Makanan & Minuman,Yogyakarta,3,20000,COD,4.0
ORD-3156,2026-09-24T00:00:00.000000000,Rumah Tangga,Yogyakarta,7,20000,Kartu Kredit,4.0
ORD-3157,2026-09-26T00:00:00.000000000,Fashion,Kebumen,7,350000,Transfer Bank,5.0
ORD-3158,2026-09-19T00:00:00.000000000,Fashion,Solo,11,200000,COD,4.0
ORD-3159,2026-09-11T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,9,45000,Transfer Bank,5.0
ORD-3160,2026-09-27T00:00:00.000000000,Elektronik,Yogyakarta,1,60000,COD,5.0
ORD-3161,2026-09-24T00:00:00.000000000,Makanan & Minuman,Yogyakarta,11,90000,E-Wallet,5.0
ORD-3162,2026-09-23T00:00:00.000000000,Rumah Tangga,Yogyakarta,10,45000,E-Wallet,3.0
ORD-3163,2026-09-11T00:00:00.000000000,Elektronik,Solo,11,20000,Transfer Bank,5.0
ORD-3164,2026-09-13T00:00:00.000000000,Rumah Tangga,Solo,3,350000,E-Wallet,5.0
ORD-3165,2026-09-02T00:00:00.000000000,Elektronik,Solo,3,350000,Transfer Bank,
ORD-3166,2026-09-21T00:00:00.000000000,Olahraga,Yogyakarta,11,45000,Kartu Kredit,
ORD-3167,2026-09-19T00:00:00.000000000,Makanan & Minuman,Purworejo,5,60000,E-Wallet,5.0
ORD-3168,2026-09-07T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,10,60000,Kartu Kredit,5.0
ORD-3169,2026-09-25T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,5,45000,COD,3.0
ORD-3170,2026-09-19T00:00:00.000000000,Rumah Tangga,Kebumen,3,350000,COD,3.0
ORD-3171,2026-09-14T00:00:00.000000000,Rumah Tangga,Solo,1,90000,E-Wallet,5.0
ORD-3172,2026-09-28T00:00:00.000000000,Makanan & Minuman,Yogyakarta,6,90000,E-Wallet,4.0
ORD-3173,2026-09-30T00:00:00.000000000,Rumah Tangga,Purworejo,11,60000,COD,5.0
ORD-3174,2026-09-03T00:00:00.000000000,Olahraga,Semarang,8,45000,Transfer Bank,1.0
ORD-3175,2026-09-08T00:00:00.000000000,Elektronik,Solo,8,125000,COD,5.0
ORD-3176,2026-09-03T00:00:00.000000000,Olahraga,Kebumen,10,200000,E-Wallet,5.0
ORD-3177,2026-09-04T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,4,60000,E-Wallet,
ORD-3178,2026-09-16T00:00:00.000000000,Olahraga,Semarang,6,20000,COD,5.0
ORD-3179,2026-09-30T00:00:00.000000000,Kesehatan & Kecantikan,Solo,6,125000,E-Wallet,4.0
ORD-3180,2026-09-11T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,2,200000,COD,3.0
ORD-3181,2026-09-03T00:00:00.000000000,Olahraga,Yogyakarta,4,20000,Transfer Bank,5.0
ORD-3182,2026-09-27T00:00:00.000000000,Olahraga,Yogyakarta,8,60000,COD,4.0
ORD-3183,2026-09-07T00:00:00.000000000,Makanan & Minuman,Semarang,8,125000,E-Wallet,
ORD-3184,2026-09-02T00:00:00.000000000,Makanan & Minuman,Purworejo,4,20000,Kartu Kredit,
ORD-3185,2026-09-12T00:00:00.000000000,Elektronik,Semarang,1,45000,Transfer Bank,5.0
ORD-3186,2026-09-07T00:00:00.000000000,Makanan & Minuman,Semarang,8,350000,COD,4.0
ORD-3187,2026-09-16T00:00:00.000000000,Rumah Tangga,Purworejo,8,350000,E-Wallet,5.0
ORD-3188,2026-09-04T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,10,200000,Transfer Bank,
ORD-3189,2026-09-12T00:00:00.000000000,Olahraga,Purworejo,1,125000,Transfer Bank,4.0
ORD-3190,2026-09-27T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,2,125000,Transfer Bank,4.0
ORD-3191,2026-09-29T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,10,90000,E-Wallet,4.0
ORD-3192,2026-09-07T00:00:00.000000000,Elektronik,Yogyakarta,8,60000,E-Wallet,5.0
ORD-3193,2026-09-08T00:00:00.000000000,Olahraga,Magelang,6,125000,COD,5.0
ORD-3194,2026-09-21T00:00:00.000000000,Makanan & Minuman,Purworejo,7,90000,COD,4.0
ORD-3195,2026-09-21T00:00:00.000000000,Elektronik,Semarang,11,60000,Transfer Bank,4.0
ORD-3196,2026-09-10T00:00:00.000000000,Fashion,Magelang,6,125000,Transfer Bank,
ORD-3197,2026-09-26T00:00:00.000000000,Elektronik,Purworejo,6,200000,Kartu Kredit,2.0
ORD-3198,2026-09-03T00:00:00.000000000,Kesehatan & Kecantikan,Solo,10,60000,Transfer Bank,5.0
ORD-3199,2026-09-08T00:00:00.000000000,Fashion,Semarang,7,20000,E-Wallet,5.0
ORD-3200,2026-09-28T00:00:00.000000000,Rumah Tangga,Purworejo,4,350000,E-Wallet,4.0
ORD-3201,2026-09-26T00:00:00.000000000,Elektronik,Yogyakarta,1,350000,COD,5.0
ORD-3202,2026-09-22T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,9,20000,COD,3.0
ORD-3203,2026-09-06T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,1,20000,COD,4.0
ORD-3204,2026-09-02T00:00:00.000000000,Makanan & Minuman,Magelang,2,60000,COD,4.0
ORD-3205,2026-09-22T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,4,350000,Transfer Bank,
ORD-3206,2026-09-17T00:00:00.000000000,Fashion,Semarang,7,60000,Transfer Bank,4.0
ORD-3207,2026-09-03T00:00:00.000000000,Elektronik,Purworejo,1,90000,Transfer Bank,5.0
ORD-3208,2026-09-08T00:00:00.000000000,Rumah Tangga,Magelang,6,60000,COD,5.0
ORD-3209,2026-09-29T00:00:00.000000000,Rumah Tangga,Purworejo,10,200000,Kartu Kredit,4.0
ORD-3210,2026-09-01T00:00:00.000000000,Makanan & Minuman,Magelang,8,350000,Kartu Kredit,4.0
ORD-3211,2026-09-07T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,5,90000,E-Wallet,4.0
ORD-3212,2026-09-24T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,1,350000,COD,
ORD-3213,2026-09-19T00:00:00.000000000,Elektronik,Magelang,7,90000,E-Wallet,
ORD-3214,2026-09-09T00:00:00.000000000,Fashion,Purworejo,8,200000,Transfer Bank,4.0
ORD-3215,2026-09-23T00:00:00.000000000,Kesehatan & Kecantikan,Solo,5,125000,COD,5.0
ORD-3216,2026-09-28T00:00:00.000000000,Olahraga,Purworejo,7,45000,COD,4.0
ORD-3217,2026-09-05T00:00:00.000000000,Elektronik,Magelang,10,125000,Transfer Bank,5.0
ORD-3218,2026-09-19T00:00:00.000000000,Elektronik,Solo,5,125000,Kartu Kredit,
ORD-3219,2026-09-22T00:00:00.000000000,Kesehatan & Kecantikan,Solo,6,20000,E-Wallet,4.0
ORD-3220,2026-09-14T00:00:00.000000000,Olahraga,Solo,1,45000,COD,5.0
ORD-3221,2026-09-16T00:00:00.000000000,Elektronik,Kebumen,6,350000,COD,4.0
ORD-3222,2026-09-01T00:00:00.000000000,Rumah Tangga,Yogyakarta,4,60000,E-Wallet,4.0
ORD-3223,2026-09-02T00:00:00.000000000,Olahraga,Solo,8,45000,E-Wallet,4.0
ORD-3224,2026-09-24T00:00:00.000000000,Olahraga,Purworejo,10,125000,COD,3.0
ORD-3225,2026-09-17T00:00:00.000000000,Elektronik,Magelang,10,125000,Transfer Bank,
ORD-3226,2026-09-22T00:00:00.000000000,Rumah Tangga,Magelang,9,125000,Kartu Kredit,3.0
ORD-3227,2026-09-12T00:00:00.000000000,Fashion,Yogyakarta,1,125000,Kartu Kredit,5.0
ORD-3228,2026-09-04T00:00:00.000000000,Rumah Tangga,Kebumen,5,20000,COD,
ORD-3229,2026-09-22T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,6,60000,COD,5.0
ORD-3230,2026-09-26T00:00:00.000000000,Fashion,Purworejo,1,200000,E-Wallet,3.0
ORD-3231,2026-09-25T00:00:00.000000000,Kesehatan & Kecantikan,Solo,10,350000,COD,
ORD-3232,2026-09-20T00:00:00.000000000,Rumah Tangga,Magelang,6,200000,Transfer Bank,4.0
ORD-3233,2026-09-02T00:00:00.000000000,Rumah Tangga,Purworejo,6,20000,Transfer Bank,4.0
ORD-3234,2026-09-11T00:00:00.000000000,Olahraga,Yogyakarta,5,125000,COD,4.0
ORD-3235,2026-09-15T00:00:00.000000000,Elektronik,Magelang,6,200000,COD,4.0
ORD-3236,2026-09-30T00:00:00.000000000,Olahraga,Purworejo,7,45000,COD,5.0
ORD-3237,2026-09-06T00:00:00.000000000,Rumah Tangga,Magelang,8,20000,Kartu Kredit,4.0
ORD-3238,2026-09-30T00:00:00.000000000,Fashion,Kebumen,2,90000,Kartu Kredit,5.0
ORD-3239,2026-09-11T00:00:00.000000000,Makanan & Minuman,Yogyakarta,10,200000,Kartu Kredit,5.0
ORD-3240,2026-09-17T00:00:00.000000000,Makanan & Minuman,Magelang,11,200000,E-Wallet,3.0
ORD-3241,2026-09-17T00:00:00.000000000,Rumah Tangga,Semarang,1,125000,Kartu Kredit,4.0
ORD-3242,2026-09-24T00:00:00.000000000,Makanan & Minuman,Magelang,6,125000,COD,
ORD-3243,2026-09-24T00:00:00.000000000,Kesehatan & Kecantikan,Solo,5,125000,Transfer Bank,4.0
ORD-3244,2026-09-01T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,5,45000,COD,4.0
ORD-3245,2026-09-08T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,6,20000,COD,
ORD-3246,2026-09-24T00:00:00.000000000,Olahraga,Magelang,6,125000,Kartu Kredit,4.0
ORD-3247,2026-09-05T00:00:00.000000000,Makanan & Minuman,Magelang,8,60000,COD,5.0
ORD-3248,2026-09-16T00:00:00.000000000,Elektronik,Yogyakarta,1,350000,Kartu Kredit,5.0
ORD-3249,2026-09-17T00:00:00.000000000,Makanan & Minuman,Yogyakarta,8,45000,Transfer Bank,3.0
ORD-3250,2026-09-10T00:00:00.000000000,Elektronik,Kebumen,4,45000,COD,5.0
ORD-3251,2026-09-26T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,11,125000,COD,
ORD-3252,2026-09-15T00:00:00.000000000,Olahraga,Purworejo,10,20000,Transfer Bank,4.0
ORD-3253,2026-09-25T00:00:00.000000000,Rumah Tangga,Yogyakarta,4,20000,E-Wallet,4.0
ORD-3254,2026-09-19T00:00:00.000000000,Rumah Tangga,Magelang,10,60000,COD,5.0
ORD-3255,2026-09-01T00:00:00.000000000,Elektronik,Magelang,3,60000,Kartu Kredit,2.0
ORD-3256,2026-09-27T00:00:00.000000000,Olahraga,Solo,5,125000,E-Wallet,4.0
ORD-3257,2026-09-10T00:00:00.000000000,Elektronik,Kebumen,11,200000,E-Wallet,
ORD-3258,2026-09-15T00:00:00.000000000,Olahraga,Yogyakarta,4,200000,Transfer Bank,5.0
ORD-3259,2026-09-02T00:00:00.000000000,Rumah Tangga,Solo,10,125000,Transfer Bank,
ORD-3260,2026-09-13T00:00:00.000000000,Rumah Tangga,Kebumen,6,45000,E-Wallet,4.0
ORD-3261,2026-09-25T00:00:00.000000000,Olahraga,Solo,11,350000,Transfer Bank,4.0
